Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"[0000000000000001]",0,16.5601,0,96.9316,"","",0
"[0000000000000030]",0,16.5601,0,96.9316,"","",0
"[0000008A2C6FF920]",0,16.5579,0,96.919,"","",0
"[0000008A2C6FF940]",0,16.5579,0,96.919,"","",0
"[0000008A2C6FFAE0]",0,16.5579,0,96.919,"","",0
"[0000008A2C6FFAE4]",0,16.5579,0,96.919,"","",0
"[0000008A2C6FFBD0]",0,16.5579,0,96.919,"","",0
"[0000008A2C6FFBD8]",0,16.5579,0,96.919,"","",0
"[0000020C00000000]",0,0.0021623,0,0.0126567,"","",0
"[0000020C67358080]",0,0.0021623,0,0.0126567,"","",0
"[0000020C67362CE0]",0,0.0021623,0,0.0126567,"","",0
"generatePrefixes",0.0338729,0.0901178,0.19827,0.52749,"golomb_openmp_v4","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\search_v4.cpp",93
"backtrackIterativeV4",10.8366,16.5579,63.4304,96.919,"golomb_openmp_v4","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\search_v4.cpp",158
"searchGolombV4",0,0.0922455,0,0.539944,"golomb_openmp_v4","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\search_v4.cpp",320
"std::bitset<256>::operator<<=",5.72127,5.72127,33.4885,33.4885,"golomb_openmp_v4","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\bitset",270
"std::vector<WorkItemV4,std::allocator<WorkItemV4> >::_Emplace_reallocate<WorkItemV4 const &>",0,0.0562449,0,0.32922,"golomb_openmp_v4","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\vector",916
"main",0,0.0981455,0,0.574479,"golomb_openmp_v4","C:\Users\romai\dev\golomb\OptimalGolombRuler\src\main_openmp_v4.cpp",38
"std::operator<<<std::char_traits<char> >",0,0.0059,0,0.0345347,"golomb_openmp_v4","C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.44.35207\include\__msvc_ostream.hpp",791
"std::basic_filebuf<char,std::char_traits<char> >::xsputn",0,0.0059,0,0.0345347,"golomb_openmp_v4","D:\a\_work\1\s\src\vctools\crt\github\stl\inc\__msvc_filebuf.hpp",604
